,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella salivae;,0,0.058789,0,0,0.027241,0,0,0,0,0,0,0.152207,0,0,0,0,0,0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus mulundensis;,0,0.058789,0.179211,0.027933,0.081722,0.074516,0,0,0,0,0,0,0,0,0.035765,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mangrovibacterium;Mangrovibacterium sp. BM_7;,0,0.058789,0,0.111732,0.027241,0.149031,0,0,0,0,0.085470,0.050736,0.046083,0.109569,0,0,0.034153,0
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;Actinopolyspora;Actinopolyspora mortivallis;,0,0.029394,0,0.111732,0.776355,0,0.046948,0.074184,0,0,0,0,0.046083,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas catoniae;,0,0.029394,0,0.027933,0.027241,0,0,0.111276,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp.;,0,0.029394,0.059737,0,0.013620,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae;,0,0.029394,0,0.111732,0.149823,0.149031,0,0,0,0,0.042735,0.253678,0.138249,0.036523,0.071531,0,0.034153,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa;,0,0.029394,0,0,0.040861,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella scopos;,0,0.029394,0,0,0.013620,0,0,0,0,0,0,0,0,0,0.017883,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;Bacteroidia bacterium;,0,0.029394,0,0.055866,0,0,0.046948,0,0,0.040800,0.042735,0.025368,0,0,0,0,0.034153,0
