"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"69","Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;NA;NA;NA;","0.002143","0.002066","0.002956","0.002314","0.001507","0.002241","0.005228","0.007545","0.005649","0.001978","0.002426","0.002227","0.002528","0.002572","0.002038","0.005281","0.004966","0.004152"
"70","Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;NA;NA;NA;","0.002109","0.004801","0.001813","0.002234","0.002404","0.001294","0.003761","0.004336","0.004016","0.002083","0.002304","0.001507","0.002352","0.00643","0.001703","0.003581","0.004249","0.003457"
"71","Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;NA;NA;NA;","0.001979","0.001708","0.002233","0.002528","0.001886","0.001325","0.001482","0.002487","0.002292","0.002101","0.001951","0.002392","0.00151","0.002203","0.001317","0.000988","0.002753","0.002622"
"72","Eukaryota;Evosea;NA;Mastigamoebida;NA;NA;NA;","0.001956","0.002488","0.001493","0.000604","0.000355","0.000556","0.000107","0.000117","0.000633","4.3e-05","0.000133","0.001345","5.1e-05","0.001282","0.000121","5.6e-05","0.00114","7e-05"
"73","Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;NA;NA;NA;","0.001896","0.003541","0.001515","0.002181","0.001667","0.001416","0.001985","0.003923","0.002682","0.002024","0.002105","0.002392","0.001689","0.002094","0.001365","0.000944","0.00219","0.001941"
"74","Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;NA;NA;NA;","0.001893","0.001718","0.002496","0.002241","0.001703","0.001273","0.002397","0.004426","0.002642","0.001946","0.001773","0.001547","0.001491","0.002513","0.001631","0.002259","0.003279","0.002675"
"75","Bacteria;Thermotogae;Thermotogae;Petrotogales;NA;NA;NA;","0.001847","0.00076","0.000836","0.001228","0.000755","0.000755","0.000618","0.001636","0.00122","0.000753","0.000832","0.001017","0.000962","0.000959","0.00096","0.000219","0.001259","0.001082"
"76","Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;NA;NA;NA;","0.001639","0.001257","0.001642","0.000558","0.00089","0.000544","0.000717","0.000472","0.000419","0.000408","0.000972","0.000933","0.001039","0.001278","0.001864","0.000131","0.000251","0.000223"
"77","Bacteria;Cyanobacteria;NA;Oscillatoriales;NA;NA;NA;","0.001616","0.001467","0.001804","0.00173","0.000877","0.001381","0.000893","0.002348","0.002175","0.001118","0.001958","0.001228","0.001441","0.001194","0.000944","0.000538","0.001339","0.001851"
"78","Bacteria;Deinococcus-Thermus;Deinococci;Thermales;NA;NA;NA;","0.001609","0.000335","0.000762","0.000582","0.000295","0.000356","0.000489","0.00163","0.000599","0.000703","0.000482","0.000469","0.000855","0.000457","0.000375","0.000219","0.000581","0.000667"
"79","Bacteria;Chlorobi;Chlorobia;Chlorobiales;NA;NA;NA;","0.001567","0.00219","0.001716","0.002661","0.001667","0.000942","0.000985","0.003735","0.002124","0.001723","0.002461","0.001631","0.001233","0.001944","0.00136","0.000725","0.003649","0.003178"
"80","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;NA;NA;NA;","0.001465","0.001048","0.001817","0.001597","0.000811","0.000692","0.001029","0.002684","0.001166","0.001342","0.001115","0.001264","0.001146","0.000934","0.001703","0.000472","0.001192","0.001089"
"81","Bacteria;Spirochaetes;Spirochaetia;Leptospirales;NA;NA;NA;","0.00143","0.001142","0.001401","0.0014","0.000724","0.000771","0.00257","0.001356","0.004848","0.001111","0.001189","0.000999","0.001358","0.001278","0.001352","0.000388","0.001905","0.002647"
"82","Bacteria;Verrucomicrobia;Opitutae;Opitutales;NA;NA;NA;","0.001421","0.001962","0.003604","0.002153","0.002353","0.000851","0.001408","0.005322","0.002209","0.001944","0.001794","0.001685","0.00194","0.001805","0.001081","0.000813","0.001982","0.001865"
"83","Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;NA;NA;","0.001377","0.001888","0.001826","0.002079","0.001571","0.001472","0.00121","0.004527","0.001836","0.001262","0.001668","0.001935","0.001833","0.001835","0.002183","0.000525","0.001378","0.001561"
"84","Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;NA;NA;NA;","0.001366","0.001076","0.000753","0.001316","0.000645","0.000595","0.000548","0.003261","0.001097","0.000862","0.001168","0.000918","0.001037","0.000549","0.00044","0.000269","0.001956","0.001746"
"85","Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;NA;NA;NA;","0.001354","0.001399","0.001322","0.001407","0.001242","0.001369","0.002202","0.002028","0.001699","0.001063","0.001119","0.001198","0.001457","0.002002","0.000847","0.001056","0.001831","0.001924"
"86","Bacteria;Balneolaeota;Balneolia;Balneolales;NA;NA;NA;","0.001248","0.000804","0.001187","0.001663","0.000914","0.00086","0.001062","0.002382","0.001328","0.002101","0.001937","0.000846","0.001013","0.001696","0.001172","0.000447","0.002817","0.001589"
"87","Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;NA;NA;NA;","0.001243","0.000859","0.000836","0.001863","0.001082","0.000912","0.001592","0.000379","0.000718","0.001686","0.001084","0.001826","0.001535","0.001428","0.000491","9.7e-05","0.000925","0.00036"
"88","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;NA;NA;NA;","0.001185","0.001213","0.001362","0.001613","0.001258","0.000818","0.000658","0.002271","0.00126","0.001513","0.00135","0.001685","0.001229","0.001416","0.000735","0.000316","0.00212","0.002249"
"89","Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;NA;NA;NA;","0.00118","0.00116","0.004895","0.001385","0.001837","0.001371","0.000654","0.012476","0.00071","0.005665","0.001426","0.001204","0.001508","0.000922","0.000979","0.001313","0.001115","0.001599"
"90","Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;NA;NA;NA;","0.001155","0.001027","0.001712","0.001143","0.00118","0.001076","0.000732","0.002176","0.002773","0.000755","0.00121","0.001017","0.000888","0.001839","0.002154","0.000303","0.001253","0.001802"
"91","Bacteria;Cyanobacteria;NA;Chroococcales;NA;NA;NA;","0.001127","0.000898","0.000731","0.001122","0.000714","0.000724","0.000434","0.001828","0.001288","0.000518","0.000713","0.00108","0.001141","0.000746","0.000472","9.7e-05","0.001339","0.000894"
"92","Bacteria;Nitrospirae;Nitrospira;Nitrospirales;NA;NA;NA;","0.001099","0.00226","0.0013","0.001285","0.001341","0.001444","0.000798","0.002808","0.001174","0.001031","0.001601","0.001962","0.001737","0.001144","0.002159","0.000466","0.001253","0.00147"
"93","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;NA;NA;NA;","0.001092","0.001168","0.001371","0.001252","0.000667","0.001128","0.001147","0.002225","0.001964","0.00105","0.001619","0.001107","0.000826","0.000875","0.000888","0.000856","0.001583","0.001145"
"94","Eukaryota;NA;Oomycota;Peronosporales;NA;NA;NA;","0.001065","0.00153","0.000854","9.5e-05","0.002214","0.000117","0.000232","0.000219","0.000137","9.4e-05","0.000217","0.00059","4.3e-05","0.001231","0.000241","5.6e-05","6.7e-05","0.000122"
"95","Bacteria;Planctomycetes;Candidatus Brocadiae;Candidatus Brocadiales;NA;NA;NA;","0.001014","0.000812","0.000801","0.000958","0.000752","0.001461","0.000283","0.001538","0.000559","0.00044","0.000836","0.000924","0.000906","0.000649","0.000625","0.000116","0.000456","0.000342"
"96","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;NA;NA;NA;","0.001009","0.000896","0.001287","0.00139","0.001378","0.000989","0.002276","0.002654","0.000978","0.00105","0.000836","0.00186","0.001265","0.001366","0.000764","0.000403","0.001288","0.001896"
"97","Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;NA;NA;NA;","0.000995","0.001527","0.00141","0.001851","0.000799","0.000563","0.000956","0.001902","0.001317","0.001015","0.001692","0.001291","0.000714","0.001198","0.000995","0.000991","0.00167","0.001198"
"98","Bacteria;Thermotogae;Thermotogae;Thermotogales;NA;NA;NA;","0.000967","0.001399","0.001138","0.001081","0.001038","0.001081","0.000717","0.001341","0.001018","0.000856","0.000937","0.001222","0.001178","0.001357","0.001159","0.000413","0.000604","0.00088"
"99","Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;NA;NA;NA;","0.000958","0.000799","0.001003","0.001017","0.000679","0.000776","0.001636","0.002527","0.001229","0.00078","0.001063","0.001183","0.000864","0.000997","0.000866","0.000444","0.00098","0.0011"
"100","Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;NA;NA;NA;","0.000942","0.001231","0.003026","0.001704","0.000684","0.000799","0.000327","0.002783","0.000932","0.001326","0.00107","0.002097","0.000545","0.001282","0.001153","0.000197","0.002274","0.001697"
