"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"47","Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;NA;NA;","0.018497","0.010086","0.015562","0.012603","0.012736","0.014329","0.013732","0.017681","0.011778","0.011358","0.010926","0.016197","0.016474","0.01278","0.012084","0.004256","0.011453","0.008995"
"48","Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;NA;NA;","0.018099","0.018826","0.01593","0.017747","0.013181","0.022525","0.014721","0.010842","0.017025","0.014317","0.018348","0.016134","0.019198","0.01606","0.019781","0.004985","0.013082","0.014201"
"49","Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;NA;NA;","0.017225","0.021882","0.014165","0.01874","0.017936","0.011033","0.01021","0.016867","0.009959","0.015577","0.019366","0.020593","0.015685","0.011976","0.009389","0.010072","0.014521","0.009285"
"50","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;NA;NA;","0.016551","0.006715","0.034343","0.006948","0.029644","0.096174","0.041757","0.005156","0.009554","0.004655","0.013754","0.006141","0.015186","0.006731","0.048657","0.005703","0.005463","0.057433"
"51","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;NA;","0.015736","0.022126","0.015278","0.019087","0.021918","0.009326","0.013544","0.0179","0.02046","0.017842","0.016513","0.017046","0.011436","0.024035","0.008566","0.01205","0.030892","0.019659"
"52","Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;NA;NA;","0.01532","0.016416","0.016521","0.0162","0.010639","0.016073","0.01139","0.012941","0.013402","0.01249","0.011688","0.018478","0.016401","0.013349","0.012468","0.003859","0.010384","0.011373"
"53","Eukaryota;Preaxostyla;NA;Oxymonadida;Streblomastigidae;NA;NA;","0.015222","0.042102","0.041686","0.003994","0.024966","0.00757","0.014831","0.003436","0.004609","0.001239","0.006174","0.027387","0.001256","0.057628","0.01276","0.002881","0.001863","0.001795"
"54","Bacteria;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;NA;NA;","0.01219","0.007821","0.009839","0.008937","0.009826","0.008965","0.006467","0.005603","0.005379","0.009676","0.008052","0.00826","0.011339","0.009236","0.013798","0.002134","0.005017","0.004431"
"55","Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;NA;NA;","0.012105","0.00144","0.001252","0.001259","0.000679","0.004229","0.001548","0.000505","0.003876","0.002551","0.000881","0.024126","0.018535","0.002212","0.000697","0.000147","0.000777","0.000552"
"56","Bacteria;Firmicutes;Clostridia;Candidatus Borkfalkiales;Candidatus Borkfalkiaceae;NA;NA;","0.011825","0.029399","0.037259","0.022637","0.005811","0.007347","0.002529","0.002324","0.00307","0.033013","0.015593","0.027935","0.025901","0.022355","0.011199","0.000128","0.004253","0.002092"
"57","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;NA;NA;","0.011158","0.015874","0.011052","0.010873","0.012489","0.020333","0.008051","0.010081","0.008283","0.008492","0.007734","0.01116","0.011021","0.011473","0.014807","0.002897","0.007117","0.005988"
"58","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;NA;NA;","0.010341","0.009633","0.020134","0.015286","0.010844","0.007357","0.103029","0.085994","0.096248","0.014237","0.023785","0.005323","0.013523","0.013224","0.006294","0.12987","0.060248","0.052712"
"59","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;NA;NA;","0.010107","0.00957","0.009642","0.049918","0.017464","0.007551","0.082989","0.021395","0.033591","0.002772","0.025222","0.007763","0.011464","0.020588","0.021197","0.000538","0.013997","0.02513"
"60","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;NA;NA;","0.009682","0.01216","0.008578","0.01011","0.01268","0.005352","0.006482","0.012312","0.012644","0.009305","0.012747","0.009511","0.006918","0.010086","0.006461","0.005247","0.019001","0.012539"
"61","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;NA;","0.008112","0.009562","0.010259","0.011964","0.007678","0.009106","0.00404","0.0125","0.006576","0.014386","0.010412","0.009057","0.011753","0.007908","0.011875","0.001397","0.003552","0.003785"
"62","Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;NA;NA;","0.007453","0.005112","0.00687","0.007444","0.005425","0.005741","0.006066","0.005775","0.00604","0.006459","0.004758","0.008729","0.007564","0.005341","0.004291","0.001153","0.004297","0.003157"
"63","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;NA;NA;","0.007207","0.007834","0.005968","0.006915","0.003506","0.004862","0.015018","0.005045","0.008135","0.005419","0.005811","0.008329","0.009513","0.006145","0.006892","0.001497","0.003633","0.003296"
"64","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA;NA;","0.006955","0.004806","0.007299","0.007147","0.004078","0.003362","0.005897","0.014732","0.00716","0.006884","0.007101","0.00665","0.00513","0.006991","0.003886","0.002675","0.010227","0.009822"
"65","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;NA;NA;","0.00693","0.008761","0.00726","0.00902","0.006801","0.007758","0.004614","0.006546","0.00618","0.006929","0.007143","0.008542","0.008968","0.007259","0.007901","0.002984","0.004102","0.004379"
"66","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae;NA;NA;","0.006809","0.008769","0.005614","0.007544","0.009857","0.004497","0.007493","0.007187","0.007819","0.010016","0.011716","0.006358","0.006698","0.009366","0.002977","0.004153","0.018593","0.01022"
"67","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;NA;NA;","0.006305","0.007718","0.007785","0.008777","0.005085","0.006642","0.006835","0.007258","0.007006","0.005166","0.006143","0.008422","0.007075","0.005986","0.007069","0.002491","0.006234","0.006121"
"68","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;NA;NA;","0.006189","0.004031","0.006993","0.006057","0.005711","0.005552","0.006838","0.020384","0.004714","0.0052","0.005447","0.006484","0.008289","0.007037","0.004422","0.002988","0.004811","0.015542"
"69","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;NA;NA;","0.006187","0.006147","0.004738","0.008578","0.007252","0.003313","0.00514","0.008093","0.006755","0.00606","0.007094","0.007017","0.004975","0.007875","0.003712","0.003688","0.016551","0.008862"
"70","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;NA;NA;","0.005967","0.01924","0.005964","0.006632","0.004875","0.005099","0.004309","0.004185","0.005373","0.00838","0.006213","0.008918","0.007238","0.005232","0.005294","0.002175","0.004927","0.003198"
