"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"76","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Extibacter;NA;","0.02025","0.010419","0.009086","0.010377","0.008523","0.007896","0.003849","0.002792","0.003708","0.014692","0.02067","0.011347","0.017345","0.016516","0.023834","0.034835","0.002329","0.003038"
"77","Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;NA;","0.020064","0.015597","0.004374","0.050868","0.058117","0.000209","0.000379","0.00168","0.014867","0.022481","0.000538","0.000466","0.008637","0.029987","0.000697","0.000244","0.005968","0.033744"
"78","Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;NA;","0.019157","0.035347","0.002207","0.034266","0.003396","0.00497","0.00614","0.038354","0.002728","0.003235","0.005024","0.017217","0.029409","0.003594","0.002317","0.000238","0.020517","0.004483"
"79","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella;NA;","0.019139","0.006817","0.011547","0.011218","0.010163","0.015574","0.010529","0.010469","0.013171","0.012225","0.009394","0.017316","0.015589","0.010099","0.008547","0.0032","0.013169","0.010266"
"80","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia;NA;","0.018819","0.019926","0.016245","0.017814","0.013877","0.013748","0.007801","0.006632","0.008759","0.01429","0.016569","0.016892","0.024036","0.017601","0.015153","0.002497","0.004397","0.005318"
"81","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;NA;","0.018572","0.019004","0.017322","0.036592","0.026629","0.022743","0.041893","0.019832","0.026759","0.012424","0.019226","0.017389","0.022055","0.027067","0.026744","0.003134","0.011694","0.02461"
"82","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Drancourtella;NA;","0.018132","0.021107","0.014721","0.017764","0.011086","0.013989","0.006412","0.007199","0.008922","0.014584","0.013167","0.016251","0.016415","0.019013","0.014766","0.002094","0.004429","0.00507"
"83","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA;","0.017549","0.015856","0.018597","0.019603","0.015201","0.0168","0.010978","0.0125","0.012852","0.017375","0.014744","0.020235","0.02089","0.021032","0.01784","0.006553","0.009767","0.007312"
"84","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Herbinix;NA;","0.01743","0.021615","0.019639","0.020846","0.01083","0.02061","0.004926","0.004795","0.004931","0.018166","0.015303","0.015165","0.023443","0.012717","0.026264","0.0016","0.002878","0.003205"
"85","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Intestinibacillus;NA;","0.017356","0.011788","0.017099","0.011451","0.01268","0.021151","0.013482","0.013939","0.0094","0.010267","0.01502","0.017295","0.030088","0.014292","0.012157","0.002409","0.010734","0.006397"
"86","Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;NA;","0.017225","0.021882","0.014165","0.01874","0.017936","0.011033","0.01021","0.016867","0.009959","0.015577","0.019366","0.020593","0.015685","0.011976","0.009389","0.010072","0.014521","0.009285"
"87","Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;NA;","0.016799","0.017765","0.014774","0.016348","0.012118","0.018804","0.013724","0.009539","0.015626","0.013685","0.01724","0.014669","0.018279","0.014304","0.0185","0.004363","0.011537","0.013066"
