RelTime,Delta,CO2,Number,ID,Season,Sex,Antibiotics,Substrate,Diet,Mom,Mom_Location,BodyMass,BodyTemp,BinTime,NormDelta,Slope
2.933333333,907.67,1.1,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,2.773333333,,
3.283333333,1053.3,0.89,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,3.292424243,,
3.616666667,977.42,0.68,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,3.75625,,
3.916666667,1008.81,0.84,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,3.75625,,
4.216666667,1248.97,0.71,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,4.254545455,,
-0.15,-18.95,0.72,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,-0.188412698,,
0.15,-19.01,0.7,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,0.34375,,
0.45,342.4,0.78,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,0.34375,,
1.183333333,302.64,1.05,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,1.377272727,,
1.533333333,208.38,1.17,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,1.377272727,,
2.733333333,1254.11,0.58,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,2.773333333,,
3.033333333,2098.49,1.18,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,2.773333333,,
3.416666667,1878.5,0.85,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,3.292424243,,
3.75,1978.53,1.08,4016,S07,Summer,Female,No,Inulin,1,3947,Tumbledown,144,36,3.75625,,
