"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"55","Eukaryota;Rhodophyta;NA;NA;NA;NA;NA;","0.000451","0.00077","0.000985","0.000461","0.000559","0.000326","0.000577","0.001304","0.000154","0.00081","0.000346","0.00087","0.000387","0.001005","0.000308","0.000203","0.000331","0.000335"
"56","Bacteria;Candidatus Aminicenantes;NA;NA;NA;NA;NA;","0.000428","0.00033","0.000337","0.000672","0.000406","0.000249","0.000265","0.002012","0.000764","0.000554","0.000612","0.000391","0.000516","7e-04","0.000201","0.000259","0.000575","0.000869"
"57","Bacteria;Candidatus Latescibacteria;NA;NA;NA;NA;NA;","0.000426","0.000359","0.000311","0.000442","0.000579","0.000239","0.000364","0.001131","0.000621","0.000383","0.000549","0.000418","0.000356","0.000293","0.000209","0.000125","0.000295","0.000447"
"58","Eukaryota;Zoopagomycota;NA;NA;NA;NA;NA;","0.000396","0.00071","0.000705","0.000233","0.000359","0.000227","0.000375","0.000376","0.000197","8.2e-05","0.000199","0.000469","8.1e-05","0.000892","0.000223","0.000134","0.000199","8e-05"
"59","Bacteria;Thermodesulfobacteria;NA;NA;NA;NA;NA;","0.000393","0.000657","0.000687","0.000936","0.000449","0.000422","0.00046","0.001559","0.000804","0.000322","0.000531","0.000641","0.000601","0.000398","0.000271","0.000256","0.000909","0.000751"
"60","Bacteria;Candidatus Atribacteria;NA;NA;NA;NA;NA;","0.000389","0.000466","0.000547","0.000661","0.000486","0.000467","0.000309","0.000364","0.000519","0.000507","0.000528","0.000346","0.000449","0.00023","0.000325","0.00015","0.000662","0.000332"
"61","Bacteria;Candidatus Riflebacteria;NA;NA;NA;NA;NA;","0.000368","0.000175","0.000267","0.000216","0.00022","0.000204","0.000165","0.001042","0.000319","0.000249","0.000241","0.000253","0.000278","0.000348","0.000129","0.000188","0.000421","0.001372"
"62","Bacteria;Candidatus Dadabacteria;NA;NA;NA;NA;NA;","0.000359","0.000249","0.000394","0.000511","2e-04","0.000288","0.000195","0.001103","0.000311","0.000303","0.000248","0.000328","0.000313","0.00057","8.9e-05","7.5e-05","0.000822","0.000712"
"63","Bacteria;Candidatus Magasanikbacteria;NA;NA;NA;NA;NA;","0.000354","0.000555","0.000276","0.000345","0.000215","0.000185","0.000257","0.001165","0.000351","0.000358","0.000301","0.000394","0.000364","0.000695","0.000129","0.000138","0.000347","0.000402"
"64","Bacteria;Chrysiogenetes;NA;NA;NA;NA;NA;","0.000326","0.000178","0.000328","0.000409","0.000332","0.000199","0.000754","0.001199","0.000302","0.000217","0.000441","0.000334","0.000246","0.000251","0.000333","0.000141","0.00018","0.000388"
"65","Archaea;Candidatus Bathyarchaeota;NA;NA;NA;NA;NA;","0.000299","0.000175","0.000311","0.000451","0.00033","0.000232","0.000324","0.000567","0.000405","0.000347","0.00028","0.000289","0.000399","0.000297","0.000153","0.000156","0.000745","0.000468"
"66","Bacteria;Candidatus Parcubacteria;NA;NA;NA;NA;NA;","0.000294","0.000427","0.000657","0.000449","0.000672","0.00046","0.000574","0.001294","0.00041","0.000351","0.000591","0.000743","0.000733","0.000402","0.000295","0.000131","0.000556","0.000527"
"67","Bacteria;Candidatus Moranbacteria;NA;NA;NA;NA;NA;","0.000285","0.000262","0.000236","0.000459","0.000218","0.000148","0.000224","0.001661","0.000131","0.000465","0.000402","0.000328","0.000423","0.000239","0.000193","9.1e-05","0.000713","0.001697"
"68","Eukaryota;Bacillariophyta;NA;NA;NA;NA;NA;","0.000282","0.000615","0.000696","0.000209","0.00042","0.000166","0.000397","0.000148","0.000123","0.000103","0.000241","0.000502","0.000121","0.00088","0.000241","8.4e-05","8.4e-05","0.00014"
"69","Bacteria;Candidatus Aerophobetes;NA;NA;NA;NA;NA;","0.000282","0.00021","0.000271","0.000416","0.000396","0.000192","0.000199","0.000222","0.000214","0.000162","0.000122","0.000232","0.000251","0.000176","0.000134","0.000178","0.000167","0.000189"
"70","Eukaryota;Fornicata;NA;NA;NA;NA;NA;","0.00028","0.001011","0.000521","0.008212","0.000222","0.001995","0.024937","0.000327","0.000331","0.00185","0.000409","0.002275","0.000131","0.000607","0.000228","0.000219","0.008842","0.000216"
