"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
85	"Bacteria"	"Candidatus Margulisbacteria"	"Candidatus Marinamargulisbacteria"	"NA"	"NA"	"NA"	"NA"
46	"Bacteria"	"Chloroflexi"	"Caldilineae"	"NA"	"NA"	"NA"	"NA"
6	"Eukaryota"	"Bacillariophyta"	"Bacillariophyceae"	"NA"	"NA"	"NA"	"NA"
76	"Bacteria"	"Candidatus Peregrinibacteria"	"Candidatus Peribacteria"	"NA"	"NA"	"NA"	"NA"
75	"Eukaryota"	"NA"	"Cryptophyceae"	"NA"	"NA"	"NA"	"NA"
6	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"NA"	"NA"	"NA"	"NA"
3	"Bacteria"	"Chloroflexi"	"Thermomicrobia"	"NA"	"NA"	"NA"	"NA"
39	"Archaea"	"Crenarchaeota"	"Thermoprotei"	"NA"	"NA"	"NA"	"NA"
3	"Eukaryota"	"Evosea"	"Variosea"	"NA"	"NA"	"NA"	"NA"
60	"Archaea"	"Euryarchaeota"	"Candidatus Methanofastidiosa"	"NA"	"NA"	"NA"	"NA"
6	"Eukaryota"	"Basidiomycota"	"Tremellomycetes"	"NA"	"NA"	"NA"	"NA"
16	"Bacteria"	"Acidobacteria"	"Holophagae"	"NA"	"NA"	"NA"	"NA"
36	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"NA"	"NA"	"NA"	"NA"
6	"Eukaryota"	"Basidiomycota"	"Exobasidiomycetes"	"NA"	"NA"	"NA"	"NA"
40	"Eukaryota"	"NA"	"Glaucocystophyceae"	"NA"	"NA"	"NA"	"NA"
39	"Bacteria"	"Candidatus Margulisbacteria"	"Candidatus Riflemargulisbacteria"	"NA"	"NA"	"NA"	"NA"
17	"Bacteria"	"Chloroflexi"	"Ardenticatenia"	"NA"	"NA"	"NA"	"NA"
2	"Eukaryota"	"Basidiomycota"	"Microbotryomycetes"	"NA"	"NA"	"NA"	"NA"
32	"Eukaryota"	"NA"	"Phaeophyceae"	"NA"	"NA"	"NA"	"NA"
16	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"NA"	"NA"	"NA"	"NA"
25	"Bacteria"	"Acidobacteria"	"Vicinamibacteria"	"NA"	"NA"	"NA"	"NA"
2	"Eukaryota"	"Basidiomycota"	"Ustilaginomycetes"	"NA"	"NA"	"NA"	"NA"
24	"Eukaryota"	"NA"	"Pelagophyceae"	"NA"	"NA"	"NA"	"NA"
23	"Bacteria"	"Proteobacteria"	"Candidatus Lambdaproteobacteria"	"NA"	"NA"	"NA"	"NA"
23	"Bacteria"	"Candidatus Riflebacteria"	"Candidatus Ozemobacteria"	"NA"	"NA"	"NA"	"NA"
14	"Bacteria"	"Chloroflexi"	"Thermoflexia"	"NA"	"NA"	"NA"	"NA"
22	"Archaea"	"Euryarchaeota"	"Theionarchaea"	"NA"	"NA"	"NA"	"NA"
21	"Bacteria"	"Chloroflexi"	"Tepidiformia"	"NA"	"NA"	"NA"	"NA"
18	"Eukaryota"	"NA"	"Eustigmatophyceae"	"NA"	"NA"	"NA"	"NA"
17	"Bacteria"	"Acidobacteria"	"Thermoanaerobaculia"	"NA"	"NA"	"NA"	"NA"
