KOID	P01	P07	P11	S07	S29	S34	W31	W32	W33	P03	P09	P12	S05	S08	S32	W20	W36	W37
K13587	3.75274E-05	2.7468E-05	7.30788E-05	8.6548E-05	4.15349E-05	3.90016E-05	1.59269E-05	5.8372E-05	2.86529E-05	6.85426E-05	6.65696E-05	6.38379E-05	3.74436E-05	6.62142E-05	3.16763E-05	6.17462E-05	8.062E-05	7.075E-05
K13588	0	2.7468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13589	0	0	0	0	0	0	0	5.8372E-06	0	0	0	3.35989E-06	0	0	0	0	0	0
K13590	1.44336E-05	0	3.41034E-05	4.17818E-05	2.76899E-05	3.51014E-05	2.65448E-05	4.08604E-05	2.86529E-05	2.28475E-05	3.32848E-05	4.70384E-05	3.95238E-05	1.41888E-05	2.63969E-05	4.11641E-05	1.51162E-05	3.21591E-05
K13598	4.61875E-05	5.4936E-05	3.89753E-05	3.87974E-05	4.49961E-05	3.12012E-05	3.18537E-05	4.08604E-05	5.73058E-05	4.56951E-05	4.1606E-05	2.68791E-05	3.32832E-05	3.31071E-05	2.63969E-05	5.14552E-05	6.55037E-05	5.14546E-05
K13599	1.44336E-05	2.7468E-05	2.92315E-05	2.98442E-05	1.3845E-05	2.73011E-05	2.65448E-05	2.33488E-05	2.38774E-05	3.65561E-05	2.91242E-05	3.69588E-05	1.0401E-05	2.83775E-05	5.27939E-06	4.11641E-05	3.52712E-05	4.50227E-05
K13606	2.88672E-06	2.7468E-05	0	1.19377E-05	0	0	0	1.16744E-05	0	0	0	6.71978E-06	8.3208E-06	4.72959E-06	0	0	0	0
K13611	1.44336E-05	0	4.87192E-06	3.28286E-05	3.46124E-06	1.17005E-05	5.30895E-06	0	4.77548E-06	1.37085E-05	8.3212E-06	1.00797E-05	2.91228E-05	4.72959E-06	2.11175E-05	2.05821E-05	5.03875E-06	1.28636E-05
K13612	8.66016E-06	0	4.87192E-06	0	0	3.90016E-06	5.30895E-06	0	4.77548E-06	1.8278E-05	0	0	1.24812E-05	0	0	0	0	0
K13613	1.15469E-05	0	0	8.95325E-06	1.03837E-05	3.90016E-06	5.30895E-06	0	0	9.13901E-06	0	6.71978E-06	1.24812E-05	9.45917E-06	1.58382E-05	0	5.03875E-06	0
K13614	2.59805E-05	2.7468E-05	9.74383E-06	1.49221E-05	6.92248E-06	2.34009E-05	1.59269E-05	1.16744E-05	9.55096E-06	2.7417E-05	1.24818E-05	1.67994E-05	1.87218E-05	1.89183E-05	3.16763E-05	0	0	1.92955E-05
K13615	2.88672E-06	0	4.87192E-06	0	1.03837E-05	1.17005E-05	1.06179E-05	0	0	0	0	6.71978E-06	2.0802E-06	1.41888E-05	1.05588E-05	0	0	0
K13616	0	2.7468E-05	0	0	3.46124E-06	0	0	0	0	0	4.1606E-06	6.71978E-06	0	0	0	0	0	0
K13617	0	2.7468E-05	9.74383E-06	8.95325E-06	3.46124E-06	3.90016E-06	5.30895E-06	0	0	0	0	3.35989E-06	0	9.45917E-06	5.27939E-06	0	5.03875E-06	0
K13622	0	0	0	0	3.46124E-06	3.90016E-06	0	0	0	0	0	0	0	0	0	0	0	0
K13626	8.66016E-06	0.00013734	4.87192E-06	8.95325E-06	6.92248E-06	2.34009E-05	0	0	0	0	1.66424E-05	3.35989E-06	2.28822E-05	9.45917E-06	2.63969E-05	1.0291E-05	1.00775E-05	6.43182E-06
K13627	2.88672E-06	0	4.87192E-06	0	0	0	0	0	0	0	0	3.35989E-06	0	0	0	0	0	0
K13628	2.88672E-06	2.7468E-05	9.74383E-06	2.98442E-06	3.46124E-06	0	5.30895E-06	5.8372E-06	4.77548E-06	9.13901E-06	4.1606E-06	0	2.0802E-06	0	5.27939E-06	1.0291E-05	5.03875E-06	6.43182E-06
K13629	2.88672E-06	0	4.87192E-06	0	6.92248E-06	0	0	1.16744E-05	0	0	8.3212E-06	0	0	4.72959E-06	0	0	0	0
K13631	1.73203E-05	0.000109872	1.94877E-05	1.49221E-05	1.73062E-05	7.80031E-06	2.12358E-05	1.75116E-05	1.91019E-05	1.37085E-05	2.49636E-05	6.71978E-06	8.3208E-06	4.72959E-06	1.05588E-05	1.0291E-05	5.03875E-06	0
