KOID	S07	S29	S34	S05	S08	S32
K00784	202.0	156.0	110.0	249.0	121.0	122.0
K00787	1.0	1.0	1.0	1.0	1.0	0.0
K00788	139.0	133.0	94.0	184.0	96.0	86.0
K00789	439.0	388.0	350.0	645.0	303.0	251.0
K00790	563.0	445.0	447.0	881.0	361.0	291.0
K00791	361.0	295.0	257.0	508.0	233.0	196.0
K00793	108.0	114.0	84.0	151.0	71.0	79.0
K00794	113.0	102.0	78.0	135.0	71.0	73.0
K00795	13.0	12.0	10.0	15.0	8.0	11.0
K00796	147.0	131.0	90.0	191.0	104.0	97.0
K00797	43.0	30.0	28.0	70.0	16.0	17.0
K00798	68.0	91.0	59.0	95.0	57.0	52.0
K00799	10.0	3.0	4.0	6.0	5.0	1.0
K00800	282.0	229.0	235.0	431.0	186.0	175.0
K00803	8.0	7.0	4.0	8.0	6.0	1.0
K00806	306.0	253.0	227.0	447.0	183.0	173.0
K00809	5.0	8.0	4.0	2.0	8.0	1.0
K00810	3.0	7.0	6.0	8.0	4.0	4.0
K00811	0.0	1.0	0.0	0.0	0.0	0.0
K00812	331.0	354.0	314.0	488.0	252.0	189.0
K00813	2.0	2.0	1.0	2.0	1.0	4.0
K00814	6.0	5.0	3.0	0.0	2.0	3.0
K00815	0.0	0.0	0.0	0.0	0.0	1.0
K00816	4.0	4.0	5.0	5.0	4.0	2.0
K00817	277.0	225.0	272.0	424.0	180.0	164.0
K00818	3.0	2.0	4.0	4.0	0.0	1.0
K00819	6.0	5.0	5.0	6.0	5.0	6.0
K00820	443.0	371.0	371.0	716.0	306.0	238.0
K00821	232.0	213.0	230.0	384.0	164.0	135.0
K00822	0.0	0.0	0.0	1.0	0.0	0.0
K00823	15.0	13.0	9.0	21.0	9.0	12.0
K00824	47.0	31.0	37.0	47.0	28.0	32.0
K00825	0.0	1.0	1.0	3.0	0.0	0.0
K00826	291.0	276.0	257.0	443.0	202.0	177.0
K00827	3.0	3.0	4.0	2.0	2.0	2.0
K00830	4.0	3.0	2.0	6.0	5.0	2.0
K00831	299.0	297.0	277.0	516.0	214.0	219.0
K00832	2.0	2.0	3.0	2.0	2.0	2.0
K00833	118.0	98.0	61.0	126.0	71.0	57.0
K00835	1.0	1.0	1.0	1.0	1.0	1.0
K00836	8.0	6.0	10.0	23.0	3.0	4.0
K00838	0.0	1.0	0.0	0.0	0.0	0.0
K00839	0.0	2.0	1.0	0.0	2.0	0.0
K00840	2.0	1.0	2.0	1.0	2.0	2.0
K00841	26.0	13.0	27.0	31.0	14.0	16.0
K00844	6.0	13.0	6.0	8.0	7.0	7.0
K00845	4.0	1.0	0.0	1.0	2.0	0.0
K00846	1.0	0.0	0.0	0.0	1.0	0.0
K00847	205.0	172.0	181.0	306.0	138.0	117.0
K00848	147.0	139.0	133.0	262.0	105.0	74.0
K00849	209.0	172.0	152.0	287.0	138.0	123.0
K00850	407.0	366.0	337.0	619.0	273.0	251.0
K00852	150.0	138.0	101.0	180.0	93.0	73.0
K00853	31.0	34.0	37.0	59.0	39.0	24.0
K00854	279.0	238.0	272.0	438.0	170.0	164.0
K00855	1.0	2.0	3.0	6.0	0.0	2.0
K00856	0.0	3.0	0.0	0.0	3.0	2.0
K00857	123.0	126.0	77.0	163.0	78.0	69.0
K00858	209.0	188.0	161.0	320.0	152.0	121.0
K00859	155.0	130.0	90.0	185.0	91.0	77.0
K00860	28.0	41.0	76.0	73.0	22.0	27.0
K00861	3.0	0.0	0.0	1.0	0.0	1.0
K00862	1.0	0.0	0.0	1.0	0.0	0.0
K00863	3.0	2.0	3.0	4.0	5.0	4.0
K00864	295.0	257.0	270.0	452.0	234.0	167.0
K00865	137.0	147.0	90.0	149.0	119.0	80.0
K00867	2.0	2.0	2.0	2.0	1.0	1.0
K00868	113.0	96.0	85.0	182.0	86.0	70.0
K00869	2.0	1.0	2.0	2.0	3.0	1.0
K00871	1.0	0.0	0.0	0.0	0.0	0.0
K00872	41.0	29.0	25.0	49.0	21.0	21.0
K00873	365.0	281.0	273.0	521.0	232.0	195.0
K00874	241.0	249.0	224.0	400.0	168.0	132.0
K00876	382.0	339.0	272.0	533.0	247.0	228.0
K00878	51.0	67.0	57.0	92.0	46.0	40.0
K00879	6.0	3.0	2.0	2.0	3.0	1.0
K00880	16.0	18.0	18.0	24.0	13.0	12.0
K00881	6.0	5.0	2.0	4.0	4.0	6.0
K00882	130.0	94.0	86.0	185.0	89.0	75.0
K00883	0.0	1.0	0.0	0.0	0.0	1.0
K00884	1.0	1.0	1.0	3.0	0.0	0.0
K00885	5.0	0.0	2.0	6.0	2.0	1.0
K00887	21.0	7.0	10.0	19.0	11.0	5.0
K00888	2.0	2.0	1.0	1.0	2.0	1.0
K00889	11.0	16.0	19.0	18.0	8.0	5.0
K00891	223.0	202.0	159.0	311.0	131.0	124.0
K00895	116.0	99.0	64.0	126.0	80.0	56.0
K00897	14.0	6.0	6.0	19.0	9.0	3.0
K00899	4.0	7.0	7.0	8.0	8.0	4.0
